AACHEN,Aachen
BRKNGST,Barking Isis Link
BARKGLT,Barking LT
BARKG1P,Barking No 1 Platform
BARKG7P,Barking No 7 Platform
BARKRRJ,Barking Ripple Road Junction
BARKRDN,Barking Riverside Down Junction
BARKRUP,Barking Riverside Up Junction
BARKG21,Barking Signal BK21
BARK103,Barking Signal UR1103
BARK104,Barking Signal UR1104
BARKNGJ,Barking Station Junction
BARKUPJ,Barking Upney Junction
BRKSTEJ,Barkston East Junction
BRKSTSJ,Barkston South Junction
BARLSTN,Barlaston
BARLSOP,Barlaston Orchard Place
BLMMTLK,Barlow Moor Road Metrolink
BARMING,Barming
BRMOUTH,Barmouth
BRBDNRG,Barnby Dun Rockware Glass
BRBDGBR,Barnby Dun Rockware Glass GB Railfreight
BRNHRST,Barnehurst
BRNHPSJ,Barnehurst Perry Street Fork Junction
BRNH532,Barnehurst Signal NK1532
BARNES,Barnes
BARNSSB,Barnes Signal Box
BARN090,Barnes Signal W1090
BNTBY,Barnetby
BNTBRSF,Barnetby Cattle Wharf Fuelling Point
BNTBFHH,Barnetby Down Reception Siding (Freightliner Heavy Haul)
BNTBGBR,Barnetby Down Reception Siding GB Railfreight
BNTBDS,Barnetby Down/On Track Machine Sidings
BNTBGBY,Barnetby Down Yard GB Railfreight
BNTB801,Barnetby Ground Position Light Signal CB8801
BNTBRSF,Barnetby Reception Sidings
BNTBCRR,Barnetby Sidings Colas Rail
BNTB27,Barnetby Signal BE27
BNTBS43,Barnetby Signal CB8843
BNTBUS,Barnetby Up Sidings
BRHMDS,Barnham Down Siding
BRHMBH7,Barnham Signal BH7
BRHM73,Barnham Signal BH17/73
BRHM100,Barnham Signal BH100
BRHM115,Barnham Signal BH115
BRHM122,Barnham Signal BH122
BRNHMSB,Barnham Signal Box
BRHMUS,Barnham Up Sidings
BNHL,Barnhill
BHLP,Barnhill (Perth)
BRNBYJ,Barnsbury Junction
BNSLY,Barnsley
BNSL040,Barnsley Signal BY1040
BNSL071,Barnsley Signal BY1071
BNSL305,Barnsley Signal BY2305
BNSL310,Barnsley Signal BY2310
BRNSTPL,Barnstaple
BRNSTBS,Barnstaple Bus Station
BRNSSGS,Barnstaple Sidings
BRNSTSA,Barnstaple Station Approach
BRNSTPS,Barnstaple Station Bus Stop
BGRN,Barnt Green
BGRNSY6,Barnt Green Signal SY6
BRNWJBP,Barnwell Junction BP Oil
BNWDJN,Barnwood Junction
BNWDSDG,Barnwood Sidings
BRNSSDG,Barons Court Lay By Siding
BRNSTLT,Barons Court LT
BRHD,Barrhead
BRRHL,Barrhill
BRRHL15,Barrhill Signal BR15
BARWHVN,Barrow Haven
BRHLCR,Barrow Hill Colas Rail
BRHLDGF,Barrow Hill Down Goods Freightliner Heavy Haul
BRHLFF,Barrow Hill Fastline Freight
BRHLLOS,Barrow Hill Limit Of Shunt
BRHLLIP,Barrow Hill Loco Inspection Point
BRHLLFL,Barrow Hill Loco Shed Freightliner Heavy Haul
BRHLJN,Barrow Hill North Junction
BRHLRS,Barrow Hill Reception Siding
BRHLRS4,Barrow Hill Reception Siding 4
BRHL003,Barrow Hill Signal S1003
BRHLSJN,Barrow Hill South Junction
BRHLSGF,Barrow Hill Staveley Freightliner Heavy Haul
BRHLSGL,Barrow Hill Staveley Goods Loop
BRHLFLH,Barrow Hill Up Siding 1 Freightliner Heavy Haul
BRHLFHH,Barrow Hill Up Sidings 2 and 3 Freightliner Heavy Haul
BRHLGBR,Barrow Hill Up Siding 4 GB Railfreight
BAROW,Barrow-In-Furness
BAROWCS,Barrow-In-Furness Carriage Sidings
BAROWEW,Barrow-In-Furness Docks (ABP)
BAROWHS,Barrow-In-Furness Loco Inspection Point
BAROWRD,Barrow-In-Furness Ramsden Dock
BAROSHJ,Barrow-In-Furness Salthouse Junction
BARO54,Barrow-In-Furness Signals BF52/BF53/BF54
BAROWYD,Barrow-In-Furness Terminal Complex
BRWRRTS,Barrow Road Avon County Council Refuse Transfer Station
BAROWOS,Barrow Upon Soar
BARRY,Barry
BARRYHS,Barry Carriage Holding Sidings
BARRYDK,Barry Docks [station]
BARRDNS,Barry Docks ABP Non Shipment
BARRABP,Barry Docks ABP Shipment
BARRDAZ,Barry Docks Advenza Freight
BARRBPC,Barry Docks BP Chemicals [later Zeon]
BARRCLR,Barry Docks Colas
BARRDCG,Barry Docks Dow Chemicals
BARRDCG,Barry Docks Dow Chemicals Freightliner
BRYDDCO,Barry Docks Dow Corning
BARRDUN,Barry Docks Dunn Brothers
BARREWS,Barry Docks English Welsh & Scottish Railway Barry Docks DB Schenker Barry Docks DB Cargo
BARRHEX,Barry Docks Hexion
BARRICI,Barry Docks ICI Siding
BARRSMT,Barry Docks Samat Terminal
BARRYSS,Barry Docks Storage Sidings
BARRVCM,Barry Dock VCM Siding
BARRDGL,Barry Down Goods Loop
BARRYDS,Barry Down Siding
BARRYHL,Barry High Level
BARRYIS,Barry Island
BARRICR,Barry Island Colas Rail
BRRYLNK,Barry Links
BARRN1D,Barry No 1 Dock
BARRN2D,Barry No 2 Dock
BARRB49,Barry Signal B49
BARR283,Barry Signal CF7283
BARRYTR,Barry Tourist Railway
BARRWRD,Barry Wagon Repair Depot
BTHLYJN,Barthomley Junction
BBGHGL,Barton & Broughton Passenger Loop
BRTDRCB,Barton Dock Road Containerbase
BRTDGBF,Barton Dock Road GB Railfreight
BARTNMJ,Barton Moss Junction
BRTHMBR,Barton On Humber
BTNUNMD,Barton Under Needwood Carriage Maintenance Depot (Central Rivers)
BTNUN56,Barton Under Needwood Ground Position Light Signal DY56
BTNUN57,Barton Under Needwood Ground Position Light Signal DY57
BTNULH,Barton Under Needwood LH Group
BTNUNNJ,Barton Under Needwood North Junction
BTNUNSJ,Barton Under Needwood South Junction
BASEL,Basel
BASESGG,Basel SBB GB GTI
BASFORD,Basford
BASILDN,Basildon
BSNGSTK,Basingstoke
BSNGSBM,Basingstoke Barton Mill Carriage Servicing Depot
BSNGBME,Basingstoke Barton Mill East
BSNGSDB,Basingstoke Down Bay
BSNGDES,Basingstoke Down East End Siding
BSNGSDR,Basingstoke Down Reception Sidings
BSNGSEB,Basingstoke East Bay
BSNGSNY,Basingstoke North Yard
BSNG541,Basingstoke Signal BE541
BSNGW34,Basingstoke Signal BE547
BSNG105,Basingstoke Signal BE5105
BSNG106,Basingstoke Signal BE5106
BSNG109,Basingstoke Signal BE5109
BASINGK,Basingstoke Signal Box
BSNGW30,Basingstoke Signal YW28/30
BSNGW34,Basingstoke Signal YW34
BSNGW36,Basingstoke Signal YW36 (later BE549)
BSNG112,Basingstoke Signal YW112
BSNG114,Basingstoke Signal YW114
BSNGSUR,Basingstoke Up Reception Sidings Basingstoke West Yard
BATABAL,Bat & Ball
BTHMPTJ,Bathampton Junction
BTHM202,Bathampton Signal B202
BTHM502,Bathampton Signal B502
BTHM990,Bathampton Signal BL1990
BTHM995,Bathampton Signal BL1995
BATHRTS,Bath Avon County Council Refuse Transfer Station
BATHBUS,Bath Bus Station
BTHGATE,Bathgate
BTHGEJ,Bathgate East Junction
BTHGCSD,Bathgate Light Maintenance Depot
BTHGMAT,Bathgate MAT
BTHG031,Bathgate Signal EN2031
BTHGTC,Bathgate Terminal Complex
BATHGSL,Bath Goods Loop
BATHSDG,Bath Sidings
BATHSPA,Bath Spa
BATLEY,Batley
BATLYEJ,Batley East Junction
BTRSBY,Battersby
BSEAFST,Battersea Festival
BATRSYD,Battersea Loop
BATRSPK,Battersea Park
BATRPHS,Battersea Pier Carriage Holding Sidings
BATRSPJ,Battersea Pier Junction
BATRSH,Battersea Pier Staff Halt
BATR571,Battersea Reversible Line Ground Position Light Signal VC571
BATTLE,Battle
BATT2XO,Battle No 2 Crossover
BTLSBDG,Battlesbridge
BATTLSB,Battle Signal Box
BAYFORD,Bayford
BAYF891,Bayford Ponsbourne Tunnel Signal K891
BAYF894,Bayford Ponsbourne Tunnel Signal K894
BAYHORS,Bay Horse
BSTNGF,Bayston Hill Ground Frame
BSTNHQ,Bayston Hill Quarry
BCNSFLD,Beaconsfield
BCNSWHI,Beaconsfield Whitehouse Tunnel
BEAL134,Beal Crossovers Signal TW134
BEAL136,Beal Crossovers Signal TW136
BELINGS,Bealings
BEAL,Beal Level Crossing
BEALSMA,Beal Smeafield
BEAMMLJ,Beam Mill Junction
BEARLEY,Bearley
BEARLYJ,Bearley Junction
BSDN,Bearsden
BEASDAL,Beasdale
BEATCK,Beattock
BEATDPL,Beattock Down Passenger Loop
BEATDNS,Beattock Down Sidings
BEAT716,Beattock Signal MC716
BEAT725,Beattock Signal MC725
BEAT729,Beattock Signal MC729
BEATCKS,Beattock Summit
BEATSDL,Beattock Summit Down Passenger Loop
BEATCE,Beattock Summit Down Sidings
BEATSUL,Beattock Summit Up Passenger Loop
BEATUPL,Beattock Up Passenger Loop
BEATUPS,Beattock Up Sidings
BEATUSS,Beattock Up Summit Sidings
BEULYPK,Beaulieu Parksee also Chelmsford Beaulieu Park
BEUL735,Beaulieu Park Signal 735
BLIEURD,Beaulieu Road
BEAULY,Beauly
BEVRSHC,Beavers Hill Level Crossing
BEBNGTN,Bebington
BECCLES,Beccles
BCKNDSG,Beckenham Down Sidings
BCKNHMH,Beckenham Hill
BCKNMJC,Beckenham Junction C
BCKN167,Beckenham Junction Signal VS167
BCKN607,Beckenham Junction Signal VS607
BCKNHMJ,Beckenham Junction [station]
BCKNBUS,Beckenham Junction (up side bus)
CROY06,Beckenham Road Tram
BCKNSPR,Beckenham Spur
BCKFOOT,Beckfoot
BECKHAX,Beckingham Haxey & Epworth Crossover
BECKGHM,Beckingham Loop
BECKBPA,Beckingham Walkerincham BPA
BECNTRE,Becontree
BEDALE,Bedale
BDNGTLA,Beddington Lane
CROY07,Beddington Lane Tram
BEDNHMS,Bedenham Sidings MOD
BEDFDM,Bedford
BEDFDBP,Bedford Ballast Pit Sidings
BEDFBUS,Bedford Bus Station
BEDFDCS,Bedford Carriage Sidings
BEDFDCD,Bedford Cauldwell Depot
BEDFCW2,Bedford Cauldwell Signal CW02
BEDFEGS,Bedford Engineers Sidings
BEDFDHS,Bedford Holding Sidings
BEDFDJS,Bedford Jowett Sidings
BEDFMIL,Bedford Millbrook
BEDFDN,Bedford North Junction
BEDFDNS,Bedford North Sidings
BESJOHN,Bedford St Johns
BESJGL,Bedford St Johns Goods Loop/Run Round Sidings
BESJOUG,Bedford St Johns Up Goods Loop
BEDF603,Bedford Signal WH603
BEDF628,Bedford Signal WH628
BEDF642,Bedford Signal WH642
BEDFDS,Bedford South Junction
BEDFDSS,Bedford South Sidings
BEDFSNJ,Bedford Station Junction
BEDFDWR,Bedford Wash Road
BDHMPTN,Bedhampton
BDHMNRD,Bedhampton New Road
BDLNTN,Bedlington
BDLNTNS,Bedlington Furnaceway Sidings
BDLNMHJ,Bedlington Marcheys House Junction
BDLNTNX,Bedlington North Level Crossing
BDLNSD,Bedlington Sidings
BDLN715,Bedlington Signal BA7715
BDMNSTR,Bedminster
BEDWRTH,Bedworth
BEDWGF,Bedworth Ground Frame
BDWTHGS,Bedworth LP Gas Sidings
BDWTHMS,Bedworth Murco Sidings
BEDWPUM,Bedworth Puma GB Railfreight
BEDYN,Bedwyn
BEDYNRS,Bedwyn Reversing Siding
BCHBKFM,Beechbrook Farm Loop
BCHBKFL,Beechbrook Farm Freightliner Heavy Haul
BCHBKRP,Beechbrook Farm Repair Point
BEEDNGS,Beeding Sidings
BESTON,Beeston
BESTTSB,Beeston Castle & Tarporley Signal Box
BESTNCS,Beeston Cement Sidings
BESTHST,Beeston Head Shunt
BESTNNJ,Beeston North Junction
BESTRR,Beeston Run Round
BESTONS,Beeston Sidings
BESTONG,Beeston Sidings GB Railfreight
BEST344,Beeston Signal TN344
BEST918,Beeston Signal TN4918
BEST931,Beeston Signal TN4931
BESTNMC,Beeston Sims McIntyre Ltd
BESTADV,Beeston Sims Metals Advenza Freight
BESTFHH,Beeston Sims Metals Freightliner Heavy Haul
BESTGBR,Beeston Sims Metals GB Railfreight
BESTNSJ,Beeston South Junction
BEGHTND,Beighton Depot
BEGHEAL,Beighton Depot Edgar Allen
BEGHTJN,Beighton Junction
BEGHTSJ,Beighton Station Junction
BEGHWES,Beighton Westhorpe Run Round
BEGHFHH,Beighton Westhorpe Run Round Freightliner Heavy Haul
BEGHT28,Beighton Westhorpe Signal S1028
BEGHT29,Beighton Westhorpe Signal S1029
BEGHT30,Beighton Westhorpe Signal S1030
BEGHT33,Beighton Westhorpe Signal S1033
BEGHT34,Beighton Westhorpe Signal S1034
BEKSBRN,Bekesbourne
BLFAIRS,Belfairs Bus
BLFSTCL,Belfast Central
BLFSTDQ,Belfast Donegall Quay
BLFSGPO,Belfast GPO
BFSTC,Belfast Lanyon Place
BLFSTPT,Belfast Port
BLFSTYR,Belfast Yorkgate
BELFBUS,Belford Bus
BELFDRS,Belford Down Refuge Siding
BELFORD,Belford Level Crossing
BELFTIL,Belford Quarry Tilcon
BELFTS,Belford Tamper Sidings
CROY08,Belgrave Walk Tram
BLLVUE,Belle Vue
BLGRVE,Bellgrove
BLGR783,Bellgrove Signal YS783
BLGR785,Bellgrove Signal YS785
BELNGHM,Bellingham
BELNGMS,Bellingham Siding
BELN688,Bellingham Signal VS688
BLSHL,Bellshill
BELWTRJ,Bellwater Junction Signal Box
BELTLC,Belmont Level Crossing
BELPER,Belper
BLTRNAB,Beltring
BELUNCL,Beluncle
BELVEDR,Belvedere
BEMPTON,Bempton
BEMPSPE,Bempton Speeton
BENMTLK,Benchill Metrolink
BENFLET,Benfleet
BENHARJ,Benhar Junction
BENHACE,Benhar Junction Civil Engineer
BENIFAY,Benifayo-Almosafes
BNRLYOC,Bennerley Opencast
BNRHYDN,Ben Rhydding
BNTHAM,Bentham
BNTNKCL,Bentinck Colliery Sidings
BTLYXO,Bentley Crossover
BNHTX,Bentley Heath Crossing
BTLYJN,Bentley Junction
BTLY696,Bentley Junction Signal 696
BTLYBC,Bentley RJB
BNTLEY,Bentley (Suffolk)
BTLYSY,Bentley (Yorks)
BENTONE,Benton East Junction
BENTKIL,Benton Killingworth
BENTMET,Benton (Nexus)
BENTON,Benton North Junction
BEREALS,Bere Alston
BEREFRS,Bere Ferrers
BRKELEY,Berkeley CEGB
BRKRJUN,Berkeley Road Junction
BERKHMD,Berkhamsted
BKSWELL,Berkswell
BRMNDSY,Bermondsey LT
BERMPRK,Bermuda Park
BRNYARM,Berney Arms
BERRYB,Berry Brow
BERYDNJ,Berryden Junction
BRLANJN,Berrylands Junction
BERTWLC,Bertwyn Level Crossing
BRWCKSB,Berwick Signal Box
BERW362,Berwick (Sussex) Signal EB1362
BRWCKUT,Berwick-Upon-Tweed
BRWCGAL,Berwick-Upon-Tweed Galashiels Bus Station
BRWCKGL,Berwick-Upon-Tweed Goods Loop
BRWCNDS,Berwick-Upon-Tweed North Down Sidings
BRWCSDS,Berwick-Upon-Tweed South Siding
BESCRLA,Bescar Lane
BSCTBRS,Bescot Ballast Reclamation Site
BSCTSPT,Bescot C and D Roads Spoil Tip
BSCTCJN,Bescot Curve Junction
BSCTYDG,Bescot Down Side GB Railfreight
BSCTYD,Bescot Down Side Yard
BSCTDSD,Bescot Down Sidings
BSCTHS,Bescot Holding Sidings
BSCTJN,Bescot Junction
BSCTSTA,Bescot Stadium
BSCTSS,Bescot Storage Sidings
BSCTTMD,Bescot Traction Maintenance Depot
BSCTUDG,Bescot Up And Down Goods
BSCTUYG,Bescot Up Brook Sidings GB Railfreight
BSCTUYD,Bescot Up Brook Sidings/Up Yard
BSCTUDS,Bescot Up Dudley Siding
BSCTESD,Bescot Up Engineers Sidings
BSCTESG,Bescot Up Engineers Siding GB Railfreight
BSCTULP,Bescot Up Loop
BSCTURQ,Bescot Up Reception Sidings - Virtual Quarry
BSCTURG,Bescot Virtual Quarry Reception GB Railfreight
BESSCRJ,Bessacarr Junction
BSTBARN,Besses o' th' Barn Metrolink
BSTWDPJ,Bestwood Park Junction
BTCHWTH,Betchworth
BTCHBUS,Betchworth (A25)
BTCHUCE,Betchworth Up Engineer's Sidings
BETHVS,Bethesda Victoria Square
BTHNLGR,Bethnal Green
BTHNLGE,Bethnal Green East Junction
BTHNLGW,Bethnal Green West Junction
BETLRSB,Betley Road Signal Box
BETTMBG,Bettembourg
BTSHCLS,Betteshanger Colliery Sidings
BETSYCD,Betws-y-Coed
BOGHBEV,Bevercotes RJB Mining
BEVERLY,Beverley
BEWDLEY,Bewdley
BEXHILL,Bexhill
BEXHGF,Bexhill Ground Frame
BEXH14,Bexhill Shunt Signal EB1435
BXHLLSB,Bexhill Signal Box
BEXLEY,Bexley
BCSTARD,Bicester Ardley
BCSTBLA,Bicester Blackthorne
BCSTBUS,Bicester Bure Place
BCSTCOD,Bicester Central Ordnance Depot
BCSTGBF,Bicester Central Ordnance Depot GB Railfreight
BCSTGF,Bicester Central Ordnance Depot Ground Frame
BCSTDEJ,Bicester Depot East Junction
BCSTDRL,Bicester Depot Goods Line Run Round Loop
BCSTDRL,Bicester Depot Reception Line
BCSTGF,Bicester Depot Signal OB5009
BCSTDWJ,Bicester Depot West Junction
BCSTES,Bicester Engineer's Sidings
BCSTGJN,Bicester Gavray Junction
BCSTLRD,Bicester London Road Level Crossing
BCSTN,Bicester North
BCSTUS,Bicester North Turnback Siding (Up Siding)
BCSTTC,Bicester Sidings
BCST189,Bicester Signal ME189
BCST192,Bicester Signal ME192
BCST196,Bicester Signal ME196 (later ME2034)
BCST210,Bicester Signal ME210
BCST032,Bicester Signal ME2032
BCST792,Bicester Signal OB1792
BCST794,Bicester Signal OB1794
BCST024,Bicester Signal OB9024
BCSTSJ,Bicester South Junction
BCSTRTN,Bicester Town
BCSTRTN,Bicester Villagesee also Bicester Town
BCSTCGF,Bicester Yard Ground Frame
BCKRSCL,Bickershaw Colliery
BCKRSHJ,Bickershaw Junction
BICKLEY,Bickley
BICKLYJ,Bickley Junction
BICK35,Bickley Junction Signal AD35
BICK626,Bickley Signal VS626
BIDFDBY,Bideford Bay
BIDFDQY,Bideford Quay
BDSTON,Bidston
BDSTNDJ,Bidston Dee Junction
BDSTNDN,Bidston Dock North
BDSTNEJ,Bidston East Junction
BDSTSDG,Bidston Sidings
BDST544,Bidston Signal ML1544
BIGLSWD,Biggleswade
BIGLPL,Biggleswade Plasmor
BIGL235,Biggleswade Signal K235
BILBROK,Bilbrook
BILERCY,Billericay
BILE572,Billericay Signal L572
BLNGHMJ,Billingham Junction
BLNGMAR,Billingham Marcroft Engineering
BLNGHM,Billingham On Tees
BLNGRFS,Billingham RFS Engineering
BLNGHSB,Billingshurst Signal Box
BILS862,Billingshurst Signal T862
BILS143,Billingshurst Signal T1430
BINGHAM,Bingham
BNGRD,Bingham Road
BNGY,Bingley
BRCHDNJ,Birchden Junction Signal Box
BRCHEAD,Birches Head
BCHGRV,Birchgrove
BIRCHWD,Birchwood
CATZBIH,Birdhill
BIRKBCK,Birkbeck
BKDLE,Birkdale
BKDLSDG,Birkdale Sidings
BRKNFP,Birkenhead
BRKNCVS,Birkenhead Cavendish Sidings
BRKNHDC,Birkenhead Central
BRKNCDS,Birkenhead Central Carriage Sidings
BRKN717,Birkenhead Central Signal ML717
BRKN718,Birkenhead Central Signal ML718
BRKNCPK,Birkenhead Conway Park
BRKNDCD,Birkenhead Co-Op Coal
BRKNDKS,Birkenhead Docks (MDHC)
BRKNIOM,Birkenhead Isle Of Man Steam Packet Company 12 Quay
BRKNMUD,Birkenhead North Electric Multiple Unit Depot
BRKNUDS,Birkenhead North Electric Multiple Unit Depot UDTS
BRKNEWR,Birkenhead North Electric Multiple Unit Depot Washer Road
BRKN564,Birkenhead North Signal ML564
BRKN570,Birkenhead North Signal ML570
BRKN574,Birkenhead North Signal ML574
BRKN577,Birkenhead North Signal ML577
BRKN601,Birkenhead North Signal ML601
BRKNHDP,Birkenhead Park
BRKTNL,Birkett Tunnel
BHAMAIR,Birmingham Airport (by bus)
BHAMSYJ,Birmingham Duddeston Junction
BHAMINT,Birmingham International
BHAMINJ,Birmingham International North Junction
BHAMISJ,Birmingham International South Junction
BHAMJEW,Birmingham Jewellery Quarter
BSWLST,Birmingham Livery Street
BHAMMRS,Birmingham Moor Street
BHAMMSS,Birmingham Moor Street Siding
BHAMMS2,Birmingham Moor Street Sidings 2
BHAM190,Birmingham Moor Street Signal WM190
BHAMNEC,Birmingham NEC (by bus)
BHAMNWS,Birmingham New Street
BHAMNBL,Birmingham New Street Ballast
BHAMNHS,Birmingham New Street Holding Sidings
BHAMQHS,Birmingham Queens Head Signal SJ606
BHAMSNH,Birmingham Snow Hill
BHAM459,Birmingham Snow Hill Signal WM459
BHAMSHT,Birmingham Snow Hill Turn Back Siding
BRTLYJN,Birtley Junction
BRTLYKM,Birtley Komatsu
BSAUKLD,Bishop Auckland
BSAUEJN,Bishop Auckland East Junction
BSAUWCP,Bishop Auckland Weardale Railway Coal Handling Point
BSAUWEA,Bishop Auckland [West] Weardale Railway
BSHB,Bishopbriggs
BSHBOT,Bishopbriggs On Track Plant
BSHG,Bishopsgate Shoreditch High Street
BSPSGBR,Bishops Lydeard GB Railfreight
BSPSHIT,Bishops Lydeard Hithermead
BSPSBUS,Bishops Lydeard - Lydeard Arms Bus
BSPSLYD,Bishops Lydeard West Somerset Railway
BSHPSFD,Bishops Stortford
BSHPSCS,Bishops Stortford Carriage Sidings
BSHPSCH,Bishops Stortford Charrington Coal Concentration Depot
BSHPSFY,Bishops Stortford Reception
BSHPSUL,Bishops Stortford Up Loop
BSSNBUS,Bishopstone (Hill Rise)
BISHPTN,Bishopton
BISHPBA,Bishopton British Aerospace
BISOKMR,BIS Siding
BITERNE,Bitterne
BLBLXSB,Blackbow Lane Crossing Signal Box
BLKB,Blackburn
BLKBBBJ,Blackburn Bolton Branch Junction
BLKBNBJ,Blackburn Bolton Junction
BLKBBRS,Blackburn Bolton Road Sidings
BLKBDJN,Blackburn Daisyfield Junction
BLKBNDS,Blackburn Darwen Street
BLKBELS,Blackburn East Lancashire Siding
BLKBNHS,Blackburn Holding Sidings
BLKBKST,Blackburn King Street
BLKBKST,Blackburn King Street British Fuels
BLKBBFG,Blackburn PG Fogarty
BLKB444,Blackburn Signal PN444
BLKBSHS,Blackburn Station Holding Sidings
BLKBNTS,Blackburn Taylor Street
BLFD,Blackford
BLFDDCE,Blackford Down Sidings
BLFDFT,Blackford Freight Terminal
BLFDDRS,Blackford Freight Terminal Direct Rail Services
BLFDSJ,Blackford South Junction
BLFDUS,Blackford Up Sidings
BLFRCHS,Blackfriars Carriage Holding Sidings
CATZ036,Blackfriars For The Games
BLFRJN,Blackfriars Junction
BLF4408,Blackfriars Junction Signal TVS4408
BLFR688,Blackfriars Signal VS688
BLAGRRD,Blackgrove Road
BLCMJN,Blackham Junction
CATZ025,Blackheath Greenwich Park
CROY09,Blackhorse Lane Tram
BLCHSRD,Blackhorse Road
BLHSJN,Blackhouse Junction
BLLNSB,Black Lion Signal Box
BLCKDRJ,Blackpool Devonshire Road Junction
BLCKPLN,Blackpool North
CATZQBN,Blackpool North Bus And Tram
BLCKNCS,Blackpool North Carriage Maintenance Depot
BLCKNHS,Blackpool North Holding Sidings
BLCKPB,Blackpool Pleasure Beach
BLCKS,Blackpool South
CATZQBS,Blackpool South Bus And Tram
BLKRDGE,Blackridge
BLRD,Blackrod
BLRDSB,Blackrod Junction Signal Box
BCKW978,Blackwater Signal BEF2978
BCKW979,Blackwater Signal BEF2979
BCKW980,Blackwater Signal BEF2980
BCKW530,Blackwater Signal WM530
BLACKWL,Blackwell
BLACSDG,Blackwell Sidings
BWELDBS,Blackwell Sidings DB Schenker
BWELFHH,Blackwell Sidings Freightliner Heavy Haul
BLACK13,Blackwell Signal BA1613
BWEL726,Blackwell Signal TC4726
BWEL727,Blackwell Signal TC4727
BLACSJN,Blackwell South Junction
BWELLSJ,Blackwell South Junction (Derbyshire)
BLNNTLP,Blaenant Loop
BLAENAU,Blaenau Ffestiniog
BLAE2GF,Blaenau Ffestiniog No 2 Ground Frame
BLAE3GF,Blaenau Ffestiniog No 3 Ground Frame
BLAE4GF,Blaenau Ffestiniog No 4 Ground Frame
BLENCWM,Blaencwm (by bus)
BLNRHND,Blaenrhondda (by bus)
BLARATH,Blair Atholl
BLARDS,Blair Atholl Down Siding
BLAR34,Blair Atholl Signal BA34
BLAIRHL,Blairhill
BLAKEDN,Blakedown
BLKST,Blake Street
BLANTYR,Blantyre
BLBGJN,Blatchbridge Junction
BLAYDON,Blaydon
BLEMOR,Blea Moor
BLEMUGL,Blea Moor Up Goods Loop
BLEASBY,Bleasby
BLENHEM,Blenheim Palace
CATZ011,Blenheim Palace via Oxford Parkway
BLETCW,Bletchington Cement Works Ground Frame
BLTCHLY,Bletchley
BLTCACE,Bletchley Area Civil Engineer's Sidings
BLTCARR,Bletchley 'ARR'
BLTCCAM,Bletchley Cambridge Sidings
BLTCCS,Bletchley Carriage Sidings
BLTCCWM,Bletchley Carriage Washing Machine
BLTCHGB,Bletchley Cemex GB Railfreight
BLTCCE,Bletchley Civil Engineer's Sidings
BLTCHDB,Bletchley Down Bay
BLTCDGL,Bletchley Down Goods Loop
BLTCDS,Bletchley Down Sidings
BLTCDRJ,Bletchley Drayton Road Junction
BLTCHFS,Bletchley Field Sidings
BLTCFJN,Bletchley Flyover Junction
BLTCFOF,Bletchley Foot Of Flyover
BLTCFHH,Bletchley Freight Depot Freightliner Heavy Haul
BLTCHHL,Bletchley High Level
BLTCMEE,Bletchley Mechanical & Electrical Engineer's Sidings
BLTCHTS,Bletchley RMC
BLTCSN,Bletchley Shunt Neck
BLTC76,Bletchley Signal BY76
BLTCSTE,Bletchley Signalling & Telecommunications Engineer's Sidings
BLTC133,Bletchley Signal TK4133
BLTCHSJ,Bletchley South Junction
BLTCSOF,Bletchley Summit Of Flyover
BLTCTMD,Bletchley Traction Maintenance Depot
BLTCUDG,Bletchley Up & Down Goods
BLTCUGL,Bletchley Up Goods Loop
BLTCWER,Bletchley Water Eaton Road
BLTCHWJ,Bletchley West Junction
BLTCWL,Bletchley West Loop (Swanbourne Siding)
BLTCYD,Bletchley Yard
BLWLOC,Blindwells Opencast
BLODWLQ,Blodwell Quarry
BLOXWCH,Bloxwich
BLXWIMS,Bloxwich Imperial Smelting
BLOXN,Bloxwich North
BLOX103,Bloxwich Signal BH103
BLOXSB,Bloxwich Signal Box
BLUANCR,Blue Anchor
BLUEANC,Blue Anchor (Somerset)
BLNDLAC,Blundellsands & Crosby
BLYTLIP,Blyth Cambois Loco Inspection Point
BLYTCPS,Blyth Cambois Power Station Blyth
